Unnamed: 0,n_filters_time,filter_time_length,n_filters_spat,pool_time_length,pool_time_stride,drop_prob,learning_rate_range,decay_range,accuracy
91,35,17,35,68,21,0.2,0.0925,0.000225,0.4314535641287723
92,47,29,43,68,14,0.5,0.0625,0.0005625,0.2860053965875555
93,48,14,32,74,21,0.3,0.0925,0.00045,0.3015268641389304
94,27,24,38,68,11,0.5,0.0525,0.0007875,0.5524348349716709
95,54,29,52,77,10,0.5,0.0625,0.0,0.5089059339698615
96,26,27,31,51,19,0.6000000000000001,0.0225,0.00045,0.4166624514012489
97,48,10,44,73,25,0.7000000000000002,0.0125,0.0,0.4856547822722679
98,41,11,48,61,15,0.7000000000000002,0.0125,0.0005625,0.4849218674760823
99,25,33,46,59,12,0.4,0.0725,0.0009,0.4209554119447215
100,50,29,34,76,11,0.2,0.0625,0.0003375,0.49731293486848
0,40,25,40,75,15,0.5,0.0625,0.0,0.66872591
1,45,35,33,68,22,0.3,0.0825,0.00045,0.5046820826467893
2,44,24,33,78,14,0.5,0.0525,0.0003375,0.4460584361255135
3,39,27,34,59,18,0.7000000000000002,0.0125,0.0007875,0.3171931859164853
4,48,12,31,59,10,0.5,0.0225,0.0009,0.3970189719482822
5,40,27,42,54,27,0.7000000000000002,0.0225,0.000225,0.4525156966985592
6,34,10,37,61,23,0.3,0.0725,0.000675,0.3620468819467922
7,40,24,49,82,17,0.5,0.0625,0.0003375,0.5321014230738016
8,33,11,53,79,27,0.3,0.0225,0.000225,0.6614634640861866
9,31,13,32,54,23,0.6000000000000001,0.0125,0.000225,0.5053637091213089
10,26,13,39,56,16,0.3,0.0225,0.0007875,0.4569312156793681
11,31,28,26,77,28,0.4,0.0925,0.0,0.5767267242527373
12,38,15,48,53,13,0.2,0.0125,0.0,0.6570463832149825
13,52,21,25,62,19,0.8,0.0925,0.0,0.2328349316022532
14,36,15,50,63,29,0.5,0.0825,0.0001125,0.4247411958049383
15,33,10,41,74,14,0.3,0.0225,0.0007875,0.6783107392000667
16,39,14,47,66,12,0.4,0.0525,0.000675,0.4437683887294011
17,46,28,51,55,12,0.6000000000000001,0.0725,0.0003375,0.2806045587376202
18,46,35,40,77,20,0.7000000000000002,0.0725,0.0007875,0.407946698330394
19,32,21,50,65,22,0.3,0.0725,0.0,0.2486690207399681
20,35,13,35,56,13,0.4,0.0125,0.0007875,0.5967012751219211
21,36,15,51,60,24,0.6000000000000001,0.0225,0.0005625,0.4742027793530064
22,36,19,36,81,10,0.6000000000000001,0.0625,0.000675,0.2635718504893689
23,27,19,44,82,25,0.5,0.0725,0.000225,0.5194597412346481
24,31,30,43,77,13,0.5,0.0725,0.0005625,0.4859386904988487
25,51,24,30,78,14,0.8,0.0725,0.00045,0.2468784215763281
26,51,32,44,76,10,0.6000000000000001,0.0825,0.00045,0.4809834033897681
27,41,15,51,63,14,0.5,0.0825,0.0007875,0.4076795327269765
28,38,29,31,56,27,0.2,0.0525,0.0005625,0.4091540003491554
29,38,28,43,63,18,0.5,0.0425,0.0003375,0.5480624851191103
30,54,25,31,73,15,0.2,0.0825,0.0005625,0.360508323915082
31,52,21,31,64,18,0.3,0.0125,0.0009,0.6046386586391235
32,44,29,44,56,28,0.2,0.0625,0.000675,0.4420682179525176
33,41,20,45,67,19,0.5,0.0825,0.0,0.2678541256227315
34,45,18,37,70,24,0.5,0.0825,0.0007875,0.338635638021799
